2014-04-16,"Na wat overleg van groepje gewisseld."
2014-04-17,"Broncode Amanda bestudeerd en C geleerd. "
2014-04-22,"Overlegd met groepje. Enkele doelen vastgesteld en voorlopige taakverdeling bepaald. "
2014-04-22,"Ook overlegd met tutor.  Positieve commentaar gekregen over onze plannen. "
2014-04-23,"GeÃ«xperimenteerd met C compilen op Windows. Tot de conclusie gekomen dat dit kut is. "
2014-04-24,"Overgeschakeld naar Linux om werkzaamheden aan het project makkelijker te maken."
2014-05-06,"Planning en taakverdeling besproken met tutor."
2014-05-07,"Gesprek Dick. Wiki op Github  bijgewerkt."
2014-05-12,"Documentatie op Blackboard doorgenomen."
2014-05-13,"Wiki op Github bijgewerkt."
